Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      4.39     0.00   551383     0.00     0.00  std::__cxx11::_List_base<Operation*, std::allocator<Operation*> >::_M_inc_size(unsigned int)
  0.00      4.39     0.00   543868     0.00     0.00  __gnu_cxx::new_allocator<Operation*>::destroy(Operation**)
  0.00      4.39     0.00   543868     0.00     0.00  __gnu_cxx::new_allocator<Operation*>::construct(Operation**, Operation* const&)
  0.00      4.39     0.00   543868     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Operation*> >::deallocate(std::_List_node<Operation*>*, unsigned int)
  0.00      4.39     0.00   543868     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Operation*> >::allocate(unsigned int, void const*)
  0.00      4.39     0.00   543868     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Operation*> >::max_size() const
  0.00      4.39     0.00   543868     0.00     0.00  std::__cxx11::_List_base<Operation*, std::allocator<Operation*> >::_M_get_node()
  0.00      4.39     0.00   543868     0.00     0.00  std::__cxx11::_List_base<Operation*, std::allocator<Operation*> >::_M_put_node(std::_List_node<Operation*>*)
  0.00      4.39     0.00   543868     0.00     0.00  std::__cxx11::list<Operation*, std::allocator<Operation*> >::_M_create_node(Operation* const&)
  0.00      4.39     0.00   543868     0.00     0.00  std::__cxx11::list<Operation*, std::allocator<Operation*> >::_M_insert(std::_List_iterator<Operation*>, Operation* const&)
  0.00      4.39     0.00   509955     0.00     0.00  __gnu_cxx::new_allocator<Operation*>::max_size() const
  0.00      4.39     0.00   502090     0.00     0.00  Operation::getPere() const
  0.00      4.39     0.00   502090     0.00     0.00  std::__cxx11::list<Operation*, std::allocator<Operation*> >::push_front(Operation* const&)
  0.00      4.39     0.00   447258     0.00     0.00  void std::__iter_swap<true>::iter_swap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      4.39     0.00   447258     0.00     0.00  void std::swap<int>(int&, int&)
  0.00      4.39     0.00   447258     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      4.39     0.00   387316     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      4.39     0.00   387316     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      4.39     0.00   387316     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, false>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      4.39     0.00   387316     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      4.39     0.00   387316     0.00     0.00  std::_List_const_iterator<Operation*>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      4.39     0.00   387316     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      4.39     0.00   387316     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      4.39     0.00   384748     0.00     0.00  std::_Vector_base<Operation, std::allocator<Operation> >::_M_get_Tp_allocator()
  0.00      4.39     0.00   364465     0.00     0.00  std::vector<Operation, std::allocator<Operation> >::end() const
  0.00      4.39     0.00   364465     0.00     0.00  std::vector<Operation, std::allocator<Operation> >::begin() const
  0.00      4.39     0.00   362068     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::pair<Operation*, Operation*> > >::deallocate(std::_List_node<std::pair<Operation*, Operation*> >*, unsigned int)
  0.00      4.39     0.00   362068     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::pair<Operation*, Operation*> > >::allocate(unsigned int, void const*)
  0.00      4.39     0.00   362068     0.00     0.00  __gnu_cxx::new_allocator<std::pair<Operation*, Operation*> >::destroy(std::pair<Operation*, Operation*>*)
  0.00      4.39     0.00   362068     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::pair<Operation*, Operation*> > >::max_size() const
  0.00      4.39     0.00   362068     0.00     0.00  std::pair<Operation*, Operation*>::pair(Operation* const&, Operation* const&)
  0.00      4.39     0.00   362068     0.00     0.00  std::__cxx11::_List_base<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_inc_size(unsigned int)
  0.00      4.39     0.00   362068     0.00     0.00  std::__cxx11::_List_base<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_put_node(std::_List_node<std::pair<Operation*, Operation*> >*)
  0.00      4.39     0.00   362068     0.00     0.00  std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_create_node(std::pair<Operation*, Operation*> const&)
  0.00      4.39     0.00   362068     0.00     0.00  std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::push_back(std::pair<Operation*, Operation*> const&)
  0.00      4.39     0.00   344505     0.00     0.00  __gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >::base() const
  0.00      4.39     0.00   344385     0.00     0.00  std::vector<Operation, std::allocator<Operation> >::end()
  0.00      4.39     0.00   344385     0.00     0.00  std::vector<Operation, std::allocator<Operation> >::begin()
  0.00      4.39     0.00   344345     0.00     0.00  std::vector<Operation, std::allocator<Operation> >::capacity() const
  0.00      4.39     0.00   344345     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >, true>::_S_base(__gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >)
